Time,Anomaly (deg C),t2m
1970,0.2103398640950521,299.2308
1971,-0.41476186116536456,298.6057
1972,0.36555226643880206,299.38602
1973,0.6910934448242188,299.71158
1974,-0.38404083251953125,298.63644
1975,-0.1767450968424479,298.84372
1976,-0.5014724731445312,298.519
1977,-0.2162755330403646,298.8042
1978,-0.054776509602864586,298.9657
1979,-0.2115147908528646,298.80896
1980,0.00292205810546875,299.0234
1981,-0.33531443277994794,298.68515
1982,-0.03485870361328125,298.98563
1983,-0.25090281168619794,298.76956
1984,-0.052416483561197914,298.96805
1985,-0.05139923095703125,298.9691
1986,-0.017077128092447918,299.0034
1987,0.34834035237630206,299.3688
1988,0.17351531982421875,299.194
1989,-0.09640248616536458,298.92407
1990,-0.1500116984049479,298.87045
1991,-0.2055536905924479,298.8149
1992,-0.37299346923828125,298.6475
1993,-0.06706492106119792,298.9534
1994,0.2126592000325521,299.23312
1995,-0.00122833251953125,299.01926
1996,0.0004603068033854167,299.02094
1997,0.5179977416992188,299.53848
1998,0.6601486206054688,299.68063
1999,0.44337209065755206,299.46384
2000,0.1787439982096354,299.19922
2001,0.8476689656575521,299.86813
2002,1.313062032063802,300.33353
2003,0.14073944091796875,299.16122
2004,0.5041427612304688,299.52463
2005,0.7112757364908854,299.73175
2006,0.5445480346679688,299.56503
2007,0.6531702677408854,299.67365
2008,0.2136561075846354,299.23413
2009,0.5557581583658854,299.57623
2010,0.6126022338867188,299.6331
2011,0.49165089925130206,299.51212
2012,0.5522994995117188,299.57278
2013,0.22002410888671875,299.2405
2014,0.39340464274088544,299.41388
2015,1.1272913614908855,300.14777
2016,0.34536997477213544,299.36584
2017,0.7997767130533854,299.82025
2018,0.1482671101888021,299.16873
2019,1.3431727091471355,300.36365
2020,1.5672938028971355,300.58777
2021,1.030469258626302,300.05093
2022,0.26244354248046875,299.28293
2023,1.3973719278971355,300.41785
2024,1.6885299682617188,300.709
